order_id,customer_id,order_date,product,quantity,unit_price,order_status
100126,C0689,2024-02-14,Monitor,1,300,COMPLETED
100127,C0440,2024-03-15,Laptop,1,1200,COMPLETED
100128,C0694,2024-03-01,Monitor,1,300,COMPLETED
100129,C0582,2024-02-15,Laptop,3,1200,CANCELLED
100130,C0735,2024-04-04,Keyboard,3,75,COMPLETED
100131,C0897,2024-04-28,Monitor,2,300,COMPLETED
100132,C0284,2024-01-26,Monitor,1,300,COMPLETED
100133,C0837,2024-04-23,Laptop,1,1200,COMPLETED
100134,C0723,2024-01-12,Laptop,2,1200,COMPLETED
100135,C0509,2024-01-23,Headphones,1,150,COMPLETED
100136,C0162,2024-01-11,Laptop,2,1200,COMPLETED
100137,C0346,2024-01-27,Monitor,1,300,COMPLETED
100138,C0317,2024-02-04,Laptop,1,1200,PENDING
100139,C0196,2024-01-30,Mouse,1,25,COMPLETED
100140,C0958,2024-04-30,Mouse,1,25,COMPLETED
100141,C0744,2024-03-07,Laptop,1,1200,CANCELLED
100142,C0951,2024-01-16,Laptop,2,1200,CANCELLED
100143,C0907,2024-01-18,Headphones,2,150,COMPLETED
100144,C0708,2024-03-12,Monitor,1,300,COMPLETED
100145,C0132,2024-04-28,Monitor,1,300,COMPLETED
100146,C0584,2024-01-20,Laptop,1,1200,COMPLETED
100147,C0859,2024-04-04,Mouse,1,25,COMPLETED
100148,C0088,2024-02-01,Headphones,1,150,COMPLETED
100149,C0966,2024-03-18,Monitor,1,300,COMPLETED
100150,C0506,2024-03-05,Monitor,2,300,COMPLETED
100151,C0188,2024-04-29,Monitor,3,300,COMPLETED
100152,C0596,2024-02-26,Mouse,3,25,COMPLETED
100153,C0777,2024-03-14,Laptop,3,1200,COMPLETED
100154,C0923,2024-04-29,Headphones,1,150,COMPLETED
100155,C0033,2024-04-15,Headphones,2,150,COMPLETED
100156,C0016,2024-01-02,Keyboard,3,75,COMPLETED
100157,C0726,2024-04-20,Laptop,3,1200,COMPLETED
100158,C0405,2024-01-19,Headphones,3,150,COMPLETED
100159,C0425,2024-03-09,Headphones,1,150,COMPLETED
100160,C0048,2024-01-05,Headphones,1,150,COMPLETED
100161,C0186,2024-04-06,Mouse,1,25,COMPLETED
100162,C0961,2024-02-17,Keyboard,1,75,PENDING
100163,C0382,2024-03-08,Mouse,1,25,COMPLETED
100164,C0137,2024-01-24,Monitor,3,300,COMPLETED
100165,C0015,2024-01-08,Mouse,3,25,COMPLETED
100166,C0180,2024-04-18,Mouse,2,25,COMPLETED
100167,C0560,2024-01-27,Monitor,2,300,COMPLETED
100168,C0466,2024-01-19,Keyboard,2,75,COMPLETED
100169,C0894,2024-03-09,Laptop,2,1200,COMPLETED
100170,C0907,2024-01-28,Keyboard,3,75,CANCELLED
100171,C0076,2024-04-23,Monitor,2,300,COMPLETED
100172,C0007,2024-04-08,Keyboard,2,75,COMPLETED
100173,C0609,2024-04-27,Headphones,2,150,COMPLETED
100174,C0075,2024-02-03,Mouse,3,25,COMPLETED
100175,C0967,2024-03-22,Headphones,1,150,CANCELLED
100176,C0352,2024-02-11,Laptop,2,1200,COMPLETED
100177,C0382,2024-04-10,Headphones,3,150,COMPLETED
100178,C0121,2024-02-28,Monitor,3,300,COMPLETED
100179,C0612,2024-01-02,Headphones,3,150,COMPLETED
100180,C0433,2024-02-15,Mouse,1,25,COMPLETED
100181,C0522,2024-01-14,Headphones,2,150,PENDING
100182,C0451,2024-02-14,Laptop,3,1200,COMPLETED
100183,C0679,2024-04-12,Keyboard,3,75,COMPLETED
100184,C0544,2024-04-01,Headphones,2,150,COMPLETED
100185,C0202,2024-04-16,Mouse,3,25,PENDING
100186,C0234,2024-01-09,Headphones,3,150,COMPLETED
100187,C0726,2024-02-01,Headphones,3,150,COMPLETED
100188,C0419,2024-03-06,Keyboard,3,75,COMPLETED
100189,C0497,2024-02-09,Keyboard,2,75,CANCELLED
100190,C0963,2024-03-05,Keyboard,2,75,COMPLETED
100191,C0056,2024-01-02,Laptop,3,1200,COMPLETED
100192,C0923,2024-04-23,Headphones,2,150,COMPLETED
100193,C0751,2024-02-20,Mouse,2,25,COMPLETED
100194,C0239,2024-01-13,Keyboard,1,75,COMPLETED
100195,C0874,2024-01-03,Headphones,3,150,PENDING
100196,C0104,2024-01-01,Keyboard,3,75,COMPLETED
100197,C0214,2024-02-19,Headphones,2,150,COMPLETED
100198,C0204,2024-02-14,Headphones,3,150,COMPLETED
100199,C0580,2024-03-31,Laptop,3,1200,COMPLETED
100200,C0606,2024-01-24,Headphones,3,150,COMPLETED
100201,C0177,2024-01-26,Mouse,1,25,COMPLETED
100202,C0427,2024-02-13,Keyboard,3,75,COMPLETED
100203,C0258,2024-03-11,Mouse,3,25,COMPLETED
100204,C0755,2024-02-06,Mouse,2,25,COMPLETED
100205,C0092,2024-02-17,Monitor,3,300,COMPLETED
100206,C0880,2024-03-20,Mouse,3,25,COMPLETED
100207,C0526,2024-03-04,Monitor,1,300,COMPLETED
100208,C0808,2024-01-30,Monitor,3,300,COMPLETED
100209,C0644,2024-01-24,Mouse,2,25,COMPLETED
100210,C0592,2024-02-20,Headphones,1,150,COMPLETED
100211,C0623,2024-03-05,Laptop,3,1200,CANCELLED
100212,C0454,2024-04-29,Laptop,3,1200,COMPLETED
100213,C0094,2024-02-15,Headphones,3,150,CANCELLED
100214,C0652,2024-03-05,Keyboard,1,75,COMPLETED
100215,C0960,2024-04-20,Monitor,1,300,COMPLETED
100216,C0849,2024-01-23,Keyboard,1,75,COMPLETED
100217,C0823,2024-01-22,Keyboard,1,75,CANCELLED
100218,C0013,2024-04-15,Mouse,3,25,COMPLETED
100219,C0192,2024-02-14,Mouse,1,25,COMPLETED
100220,C0892,2024-04-05,Laptop,1,1200,COMPLETED
100221,C0733,2024-02-25,Mouse,1,25,COMPLETED
100222,C0114,2024-01-11,Keyboard,1,75,COMPLETED
100223,C0916,2024-01-27,Laptop,1,1200,COMPLETED
100224,C0439,2024-02-15,Laptop,2,1200,COMPLETED
100225,C0583,2024-03-31,Keyboard,3,75,COMPLETED
100226,C0855,2024-01-24,Monitor,1,300,COMPLETED
100227,C0718,2024-03-13,Mouse,1,25,CANCELLED
100228,C0801,2024-03-08,Headphones,1,150,COMPLETED
100229,C0753,2024-04-27,Mouse,1,25,COMPLETED
100230,C0823,2024-01-03,Laptop,1,1200,COMPLETED
100231,C0862,2024-03-14,Headphones,3,150,COMPLETED
100232,C0973,2024-01-17,Laptop,1,1200,COMPLETED
100233,C0137,2024-01-20,Mouse,1,25,COMPLETED
100234,C0128,2024-04-02,Monitor,1,300,COMPLETED
100235,C0582,2024-01-04,Keyboard,2,75,COMPLETED
100236,C0730,2024-01-19,Laptop,3,1200,COMPLETED
100237,C0514,2024-03-31,Keyboard,1,75,COMPLETED
100238,C0084,2024-02-06,Monitor,2,300,CANCELLED
100239,C0324,2024-02-10,Monitor,2,300,COMPLETED
100240,C0563,2024-04-29,Mouse,2,25,COMPLETED
100241,C0265,2024-01-27,Mouse,2,25,CANCELLED
100242,C0317,2024-02-07,Mouse,1,25,COMPLETED
100243,C0173,2024-04-17,Mouse,2,25,COMPLETED
100244,C0905,2024-01-09,Headphones,1,150,COMPLETED
100245,C0309,2024-02-08,Monitor,1,300,COMPLETED
100246,C0087,2024-02-15,Laptop,2,1200,COMPLETED
100247,C0386,2024-01-11,Monitor,1,300,COMPLETED
100248,C0896,2024-04-05,Keyboard,3,75,COMPLETED
100249,C0646,2024-02-08,Mouse,3,25,CANCELLED
100250,C0996,2024-01-20,Monitor,3,300,COMPLETED
100251,C0974,2024-03-23,Laptop,1,1200,COMPLETED
100252,C0268,2024-01-16,Mouse,1,25,COMPLETED
100253,C0983,2024-01-03,Headphones,3,150,COMPLETED
100254,C0811,2024-03-31,Mouse,1,25,COMPLETED
100255,C0164,2024-02-11,Headphones,1,150,COMPLETED
100256,C0433,2024-04-07,Mouse,1,25,COMPLETED
100257,C0011,2024-02-06,Monitor,1,300,COMPLETED
100258,C0885,2024-02-16,Mouse,3,25,COMPLETED
100259,C0573,2024-03-06,Keyboard,2,75,COMPLETED
100260,C0463,2024-01-21,Keyboard,3,75,CANCELLED
100261,C0737,2024-02-03,Headphones,1,150,COMPLETED
100262,C0124,2024-03-11,Laptop,2,1200,PENDING
100263,C0673,2024-02-04,Mouse,3,25,COMPLETED
100264,C0671,2024-01-08,Mouse,2,25,COMPLETED
100265,C0538,2024-02-21,Mouse,2,25,COMPLETED
100266,C0211,2024-01-02,Headphones,3,150,COMPLETED
100267,C0041,2024-01-04,Headphones,2,150,PENDING
100268,C0598,2024-02-28,Monitor,1,300,COMPLETED
100269,C0867,2024-02-23,Keyboard,2,75,COMPLETED
100270,C0612,2024-04-02,Keyboard,3,75,COMPLETED
100271,C0066,2024-04-22,Keyboard,2,75,PENDING
100272,C0431,2024-04-23,Monitor,3,300,COMPLETED
100273,C0559,2024-03-04,Mouse,3,25,COMPLETED
100274,C0093,2024-01-20,Laptop,1,1200,COMPLETED
100275,C0237,2024-03-11,Keyboard,3,75,CANCELLED
100276,C0030,2024-01-24,Keyboard,1,75,COMPLETED
100277,C0032,2024-04-20,Keyboard,1,75,COMPLETED
100278,C0220,2024-01-21,Mouse,2,25,COMPLETED
100279,C0250,2024-01-24,Keyboard,2,75,COMPLETED
100280,C0589,2024-01-27,Headphones,3,150,COMPLETED
100281,C0621,2024-03-22,Keyboard,2,75,COMPLETED
100282,C0441,2024-04-30,Monitor,3,300,COMPLETED
100283,C0218,2024-01-09,Monitor,2,300,COMPLETED
100284,C0333,2024-03-26,Headphones,2,150,COMPLETED
100285,C0102,2024-02-15,Monitor,3,300,COMPLETED
100286,C0881,2024-04-20,Monitor,1,300,COMPLETED
100287,C0059,2024-01-21,Monitor,3,300,COMPLETED
100288,C0680,2024-04-09,Headphones,1,150,CANCELLED
100289,C0709,2024-03-06,Mouse,3,25,COMPLETED
100290,C0273,2024-03-27,Headphones,1,150,COMPLETED
100291,C0988,2024-01-12,Monitor,3,300,COMPLETED
100292,C0050,2024-01-27,Headphones,3,150,COMPLETED
100293,C0736,2024-04-22,Laptop,3,1200,COMPLETED
100294,C0254,2024-02-13,Laptop,3,1200,COMPLETED
100295,C0478,2024-02-02,Mouse,2,25,COMPLETED
100296,C0463,2024-02-16,Keyboard,1,75,COMPLETED
100297,C0537,2024-02-26,Mouse,1,25,COMPLETED
100298,C0267,2024-04-09,Monitor,2,300,COMPLETED
100299,C0317,2024-01-29,Monitor,3,300,CANCELLED
100300,C0361,2024-03-18,Laptop,3,1200,COMPLETED
100301,C0280,2024-02-25,Keyboard,1,75,COMPLETED
100302,C0008,2024-04-19,Monitor,2,300,COMPLETED
100303,C0319,2024-01-30,Keyboard,3,75,COMPLETED
100304,C0190,2024-02-22,Laptop,1,1200,COMPLETED
100305,C0953,2024-02-19,Keyboard,2,75,COMPLETED
100306,C0793,2024-02-15,Mouse,2,25,COMPLETED
100307,C0273,2024-04-26,Mouse,3,25,COMPLETED
100308,C0330,2024-03-25,Keyboard,3,75,CANCELLED
100309,C0975,2024-04-17,Monitor,1,300,COMPLETED
100310,C0812,2024-03-16,Headphones,1,150,COMPLETED
100311,C0441,2024-01-29,Monitor,2,300,COMPLETED
100312,C0561,2024-02-05,Laptop,3,1200,COMPLETED
100313,C0517,2024-03-20,Keyboard,1,75,COMPLETED
100314,C0774,2024-03-20,Laptop,2,1200,COMPLETED
100315,C0298,2024-01-12,Laptop,3,1200,PENDING
100316,C0216,2024-02-17,Mouse,3,25,COMPLETED
100317,C0364,2024-01-28,Monitor,1,300,COMPLETED
100318,C0274,2024-02-22,Laptop,3,1200,COMPLETED
100319,C0356,2024-03-19,Monitor,1,300,COMPLETED
100320,C0353,2024-01-12,Headphones,3,150,COMPLETED
100321,C0907,2024-02-09,Monitor,2,300,COMPLETED
100322,C0436,2024-02-16,Keyboard,1,75,COMPLETED
100323,C0645,2024-02-25,Mouse,2,25,COMPLETED
100324,C0916,2024-02-08,Monitor,1,300,COMPLETED
100325,C0043,2024-03-16,Keyboard,2,75,CANCELLED
100326,C0371,2024-03-12,Monitor,3,300,PENDING
100327,C0056,2024-02-15,Headphones,2,150,COMPLETED
100328,C0577,2024-01-26,Monitor,1,300,COMPLETED
100329,C0770,2024-01-02,Monitor,1,300,COMPLETED
100330,C0058,2024-03-14,Headphones,2,150,COMPLETED
100331,C0719,2024-04-30,Laptop,3,1200,PENDING
100332,C0055,2024-01-08,Monitor,3,300,COMPLETED
100333,C0336,2024-04-25,Mouse,2,25,COMPLETED
100334,C0416,2024-02-10,Keyboard,3,75,COMPLETED
100335,C0376,2024-01-28,Mouse,1,25,COMPLETED
100336,C0188,2024-01-19,Headphones,1,150,COMPLETED
100337,C0535,2024-01-02,Monitor,2,300,COMPLETED
100338,C0511,2024-04-07,Monitor,1,300,COMPLETED
100339,C0908,2024-01-16,Keyboard,3,75,CANCELLED
100340,C0666,2024-03-28,Mouse,1,25,CANCELLED
100341,C0085,2024-04-15,Monitor,2,300,CANCELLED
100342,C0410,2024-02-16,Keyboard,1,75,COMPLETED
100343,C0682,2024-01-07,Monitor,1,300,COMPLETED
100344,C0438,2024-03-20,Monitor,3,300,CANCELLED
100345,C0025,2024-03-31,Mouse,2,25,COMPLETED
100346,C0380,2024-04-07,Keyboard,1,75,COMPLETED
100347,C0737,2024-01-10,Laptop,2,1200,COMPLETED
100348,C0075,2024-01-11,Mouse,3,25,COMPLETED
100349,C0614,2024-03-24,Headphones,3,150,COMPLETED
100350,C0757,2024-03-17,Headphones,3,150,COMPLETED
100351,C0860,2024-02-23,Monitor,3,300,COMPLETED
100352,C0907,2024-02-25,Laptop,3,1200,PENDING
100353,C0695,2024-03-26,Monitor,2,300,COMPLETED
100354,C0967,2024-03-07,Monitor,3,300,COMPLETED
100355,C0314,2024-01-16,Laptop,1,1200,PENDING
100356,C0714,2024-03-16,Mouse,3,25,CANCELLED
100357,C0844,2024-04-26,Headphones,3,150,COMPLETED
100358,C0616,2024-04-18,Laptop,2,1200,PENDING
100359,C0580,2024-03-07,Monitor,1,300,PENDING
100360,C0211,2024-02-13,Monitor,1,300,COMPLETED
100361,C0872,2024-01-19,Headphones,2,150,COMPLETED
100362,C0012,2024-02-25,Headphones,3,150,PENDING
100363,C0617,2024-02-28,Mouse,2,25,COMPLETED
100364,C0244,2024-02-19,Keyboard,3,75,COMPLETED
100365,C0754,2024-04-16,Monitor,2,300,COMPLETED
100366,C0575,2024-03-31,Headphones,3,150,COMPLETED
100367,C0577,2024-01-28,Laptop,1,1200,COMPLETED
100368,C0271,2024-04-02,Keyboard,2,75,COMPLETED
100369,C0171,2024-02-29,Keyboard,1,75,COMPLETED
100370,C0012,2024-03-10,Mouse,3,25,COMPLETED
100371,C0267,2024-04-03,Headphones,2,150,COMPLETED
100372,C0840,2024-03-10,Keyboard,2,75,COMPLETED
100373,C0595,2024-02-08,Monitor,1,300,COMPLETED
100374,C0127,2024-03-11,Mouse,1,25,CANCELLED
100375,C0975,2024-04-25,Mouse,1,25,COMPLETED
100376,C0110,2024-01-30,Keyboard,1,75,PENDING
100377,C0260,2024-01-02,Monitor,2,300,CANCELLED
100378,C0492,2024-04-23,Monitor,1,300,COMPLETED
100379,C0651,2024-03-18,Keyboard,1,75,COMPLETED
100380,C0619,2024-03-17,Monitor,3,300,COMPLETED
100381,C0875,2024-01-23,Monitor,2,300,COMPLETED
100382,C0071,2024-01-24,Mouse,2,25,COMPLETED
100383,C0975,2024-03-27,Headphones,2,150,COMPLETED
100384,C0055,2024-04-11,Laptop,2,1200,COMPLETED
100385,C0339,2024-04-20,Monitor,3,300,CANCELLED
100386,C0421,2024-04-20,Headphones,1,150,COMPLETED
100387,C0805,2024-01-31,Headphones,3,150,COMPLETED
100388,C0111,2024-04-14,Monitor,3,300,PENDING
100389,C0476,2024-04-01,Monitor,1,300,COMPLETED
100390,C0569,2024-04-07,Headphones,1,150,COMPLETED
100391,C0214,2024-04-05,Laptop,2,1200,COMPLETED
100392,C0723,2024-04-23,Mouse,1,25,CANCELLED
100393,C0800,2024-03-13,Headphones,2,150,COMPLETED
100394,C1000,2024-04-09,Mouse,1,25,COMPLETED
100395,C0143,2024-01-04,Headphones,2,150,COMPLETED
100396,C0171,2024-03-04,Mouse,3,25,COMPLETED
100397,C0769,2024-02-17,Headphones,3,150,COMPLETED
100398,C0067,2024-04-07,Mouse,2,25,COMPLETED
100399,C0725,2024-04-19,Mouse,2,25,COMPLETED
100400,C0732,2024-01-12,Monitor,1,300,COMPLETED
100401,C0209,2024-03-07,Laptop,3,1200,COMPLETED
100402,C0759,2024-03-17,Headphones,3,150,COMPLETED
100403,C0263,2024-04-25,Keyboard,2,75,COMPLETED
100404,C0393,2024-01-01,Laptop,1,1200,COMPLETED
100405,C0746,2024-03-08,Monitor,2,300,COMPLETED
100406,C0320,2024-04-17,Headphones,2,150,COMPLETED
100407,C0165,2024-02-12,Keyboard,1,75,COMPLETED
100408,C0029,2024-02-29,Headphones,1,150,COMPLETED
100409,C0048,2024-04-27,Headphones,1,150,CANCELLED
100410,C0191,2024-01-28,Keyboard,3,75,CANCELLED
100411,C0449,2024-03-26,Headphones,1,150,COMPLETED
100412,C0780,2024-03-25,Keyboard,1,75,COMPLETED
100413,C0544,2024-01-13,Mouse,2,25,COMPLETED
100414,C0271,2024-03-25,Mouse,2,25,PENDING
100415,C0432,2024-01-01,Keyboard,1,75,CANCELLED
100416,C0179,2024-04-20,Keyboard,2,75,COMPLETED
100417,C0066,2024-02-15,Laptop,2,1200,COMPLETED
100418,C0344,2024-01-23,Laptop,2,1200,COMPLETED
100419,C0463,2024-01-06,Keyboard,2,75,COMPLETED
100420,C0131,2024-04-19,Keyboard,1,75,COMPLETED
100421,C0187,2024-03-26,Mouse,3,25,PENDING
100422,C0050,2024-02-05,Keyboard,2,75,COMPLETED
100423,C0740,2024-02-07,Mouse,2,25,COMPLETED
100424,C0126,2024-03-25,Keyboard,3,75,COMPLETED
100425,C0930,2024-02-17,Laptop,3,1200,COMPLETED
100426,C0241,2024-02-12,Headphones,2,150,COMPLETED
100427,C0441,2024-04-13,Headphones,1,150,COMPLETED
100428,C0223,2024-02-20,Keyboard,3,75,COMPLETED
100429,C0729,2024-01-04,Mouse,3,25,COMPLETED
100430,C0641,2024-01-29,Keyboard,3,75,COMPLETED
100431,C0770,2024-03-05,Monitor,2,300,COMPLETED
100432,C0603,2024-01-17,Monitor,3,300,COMPLETED
100433,C0365,2024-04-07,Monitor,3,300,CANCELLED
100434,C0489,2024-04-27,Headphones,1,150,COMPLETED
100435,C0221,2024-03-20,Mouse,1,25,COMPLETED
100436,C0928,2024-01-18,Laptop,2,1200,COMPLETED
100437,C0348,2024-02-22,Keyboard,1,75,COMPLETED
100438,C0803,2024-04-01,Keyboard,1,75,COMPLETED
100439,C0201,2024-03-08,Monitor,1,300,CANCELLED
100440,C0039,2024-03-29,Mouse,2,25,COMPLETED
100441,C0677,2024-02-23,Mouse,1,25,COMPLETED
100442,C0847,2024-04-21,Headphones,1,150,COMPLETED
100443,C0284,2024-03-29,Monitor,2,300,PENDING
100444,C0075,2024-03-29,Mouse,1,25,COMPLETED
100445,C0018,2024-04-09,Laptop,2,1200,COMPLETED
100446,C0512,2024-04-14,Mouse,3,25,COMPLETED
100447,C0521,2024-02-11,Headphones,3,150,COMPLETED
100448,C0445,2024-03-26,Monitor,1,300,COMPLETED
100449,C0311,2024-01-15,Keyboard,1,75,COMPLETED
100450,C0517,2024-03-27,Laptop,2,1200,PENDING
100451,C0027,2024-03-30,Laptop,3,1200,COMPLETED
100452,C0258,2024-03-06,Keyboard,1,75,COMPLETED
100453,C0164,2024-04-18,Mouse,3,25,CANCELLED
100454,C0313,2024-04-18,Mouse,2,25,COMPLETED
100455,C0427,2024-01-02,Laptop,1,1200,COMPLETED
100456,C0101,2024-01-11,Mouse,3,25,COMPLETED
100457,C0690,2024-04-03,Monitor,2,300,COMPLETED
100458,C0091,2024-02-20,Keyboard,2,75,PENDING
100459,C0055,2024-01-23,Monitor,2,300,COMPLETED
100460,C0220,2024-01-17,Monitor,3,300,COMPLETED
100461,C0358,2024-01-03,Monitor,1,300,COMPLETED
